Month,sum of actual energy generated
"May, 2008",7538.96
"June, 2008",7542.41
"July, 2008",7322.73
"August, 2008",7192.68
"September, 2008",7382.1
"October, 2008",7959.81
"November, 2008",7612.99
"December, 2008",8060.76
"January, 2009",8001.35
"February, 2009",7273.66
"March, 2009",8408.14
"April, 2009",8212.92
"May, 2009",8127.09
"June, 2009",8007.66
"July, 2009",7912.41
"August, 2009",7747.01
"September, 2009",7324.18
"October, 2009",7525.84
"November, 2009",7121.4
"December, 2009",8116.75
"January, 2010",8485.03
"February, 2010",8987.16
"March, 2010",8987.16
"April, 2010",8133.97
"May, 2010",8852.07
"June, 2010",8911.99
"July, 2010",8726.36
"August, 2010",8103.92
"September, 2010",7528.33
"October, 2010",9396.83
"November, 2010",8623.32
"December, 2010",9275.51
"January, 2011",9880.27
"February, 2011",8911.85
"March, 2011",9854.33
"April, 2011",8899.67
"May, 2011",9222.07
"June, 2011",8801.97
"July, 2011",9175.56
"August, 2011",8155.3
"September, 2011",7999.94
"October, 2011",9146.13
"November, 2011",9608.55
"December, 2011",10008.09
"January, 2012",9871.83
"February, 2012",10231.92
"March, 2012",10231.92
"April, 2012",9123.94
"May, 2012",9970.28
"June, 2012",10173.53
"July, 2012",9363.13
"August, 2012",8851.37
"September, 2012",8998.2
"October, 2012",10255.71
"November, 2012",10388.42
"December, 2012",10722.72
"January, 2013",10685.17
"February, 2013",9216.08
"March, 2013",10063.86
"April, 2013",9709.6
"May, 2013",11099.88
"June, 2013",9886.76
"July, 2013",10218.54
"August, 2013",9663.38
"September, 2013",9987.24
"October, 2013",10597.11
"November, 2013",10639.36
"December, 2013",10990.69
"January, 2014",10699.22
"February, 2014",9806.66
"March, 2014",10330.73
"April, 2014",10561.37
"May, 2014",11012.78
"June, 2014",10937.71
"July, 2014",10765.18
"August, 2014",9929.1
"September, 2014",9724.61
"October, 2014",10110.19
"November, 2014",10293
"December, 2014",10313
"January, 2015",10961.56
"February, 2015",9628.55
"March, 2015",9780.51
"April, 2015",9838
"May, 2015",11033
"June, 2015",10768
"July, 2015",10385
"August, 2015",10346
"September, 2015",10639.61
"October, 2015",10577.05
"November, 2015",9700.5
"December, 2015",9916.19
"January, 2016",10574.38
"February, 2016",10034.79
"April, 2016",10968.46
"May, 2016",11011.34
"June, 2016",11224.15
"July, 2016",10853.71
"August, 2016",10502.95
"September, 2016",11540.55
"October, 2016",11392.41
"November, 2016",11066.46
"December, 2016",11421.42
"January, 2017",11530.76
"February, 2017",10054.67
"March, 2017",11294.55
